=== New Logging Session ===
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.02, 0.00, 0.02 | Gyro: 0.2, 0.1, 0.0 || MPU2 Acc: -0.01, -0.03, -0.01 | Gyro: 0.5, 0.4, 0.4 || Time: 12031 ms
Enc Cnt: 50 | Angle: 12.5° || MPU1 Acc: -1.22, -0.62, -0.35 | Gyro: 20.6, -4.2, -123.1 || MPU2 Acc: 2.74, -2.64, 0.79 | Gyro: 16.7, 4.2, -82.6 || Time: 38049 ms
Enc Cnt: 48 | Angle: 12.0° || MPU1 Acc: -1.21, -1.49, -0.09 | Gyro: 23.0, -3.0, -134.7 || MPU2 Acc: 2.60, -1.33, 1.00 | Gyro: 16.4, 3.5, -89.6 || Time: 38059 ms
Enc Cnt: 46 | Angle: 11.5° || MPU1 Acc: -1.18, -1.46, -0.08 | Gyro: 25.2, 1.7, -143.6 || MPU2 Acc: 2.57, -1.97, 1.34 | Gyro: 15.8, 0.9, -96.6 || Time: 38069 ms
Enc Cnt: 43 | Angle: 11.0° || MPU1 Acc: -0.64, -1.42, 0.42 | Gyro: 25.8, 11.0, -161.0 || MPU2 Acc: 3.58, -2.00, 1.63 | Gyro: 12.5, 10.2, -103.5 || Time: 38080 ms
Enc Cnt: 41 | Angle: 10.3° || MPU1 Acc: -1.51, -2.97, -0.13 | Gyro: 30.4, 23.5, -169.9 || MPU2 Acc: 4.03, -1.30, 1.98 | Gyro: 7.4, 27.4, -109.2 || Time: 38090 ms
Enc Cnt: 38 | Angle: 9.5° || MPU1 Acc: -1.64, -2.47, -0.55 | Gyro: 35.9, 17.6, -180.0 || MPU2 Acc: 2.27, -2.24, 1.93 | Gyro: 2.2, 2.8, -112.5 || Time: 38100 ms
Enc Cnt: 34 | Angle: 8.8° || MPU1 Acc: -1.79, -3.23, -0.08 | Gyro: 37.9, 21.3, -193.4 || MPU2 Acc: 2.85, -1.06, 1.85 | Gyro: 0.6, -1.6, -118.7 || Time: 38112 ms
Enc Cnt: 31 | Angle: 8.0° || MPU1 Acc: -1.09, -3.20, -0.10 | Gyro: 39.4, 26.4, -197.7 || MPU2 Acc: 3.16, -2.24, 1.44 | Gyro: -0.8, -4.4, -123.6 || Time: 38121 ms
Enc Cnt: 28 | Angle: 7.0° || MPU1 Acc: -2.32, -4.29, -0.77 | Gyro: 42.2, 31.2, -208.1 || MPU2 Acc: 3.69, -2.71, 2.43 | Gyro: -0.5, -7.4, -130.1 || Time: 38131 ms
Enc Cnt: 24 | Angle: 6.2° || MPU1 Acc: -4.08, -5.96, -1.73 | Gyro: 47.5, 41.3, -220.0 || MPU2 Acc: 4.28, -3.46, 1.47 | Gyro: -4.8, -11.0, -143.1 || Time: 38141 ms
Enc Cnt: 21 | Angle: 5.2° || MPU1 Acc: -7.54, -7.50, -2.59 | Gyro: 53.0, 47.2, -226.7 || MPU2 Acc: 4.07, -5.35, 0.69 | Gyro: -9.4, -11.0, -159.2 || Time: 38151 ms
Enc Cnt: 18 | Angle: 4.7° || MPU1 Acc: -7.89, -4.08, -1.31 | Gyro: 54.4, 36.4, -230.8 || MPU2 Acc: 4.24, -9.66, -0.41 | Gyro: 2.8, -6.3, -171.4 || Time: 38161 ms
Enc Cnt: 14 | Angle: 3.7° || MPU1 Acc: -5.00, -8.88, -0.86 | Gyro: 65.8, 17.9, -281.7 || MPU2 Acc: 5.08, -9.20, -0.22 | Gyro: 14.3, 3.1, -196.8 || Time: 38172 ms
Enc Cnt: 10 | Angle: 2.7° || MPU1 Acc: -7.03, -6.39, -2.94 | Gyro: 70.8, 8.4, -301.0 || MPU2 Acc: 3.11, -6.49, -1.46 | Gyro: 22.4, 1.3, -214.3 || Time: 38182 ms
Enc Cnt: 7 | Angle: 1.8° || MPU1 Acc: -6.87, -2.97, -2.74 | Gyro: 74.1, 16.5, -286.2 || MPU2 Acc: 2.25, -3.57, -0.38 | Gyro: 21.8, 0.8, -214.4 || Time: 38192 ms
Enc Cnt: 3 | Angle: 1.0° || MPU1 Acc: -3.93, -2.39, -2.15 | Gyro: 80.3, 23.3, -279.9 || MPU2 Acc: 1.72, -3.91, -1.14 | Gyro: 18.9, 3.5, -210.9 || Time: 38204 ms
Enc Cnt: 0 | Angle: 0.0° || MPU1 Acc: -3.24, -2.43, -2.70 | Gyro: 87.3, 30.4, -294.1 || MPU2 Acc: 1.56, -4.71, -1.25 | Gyro: 15.8, 9.3, -208.1 || Time: 38213 ms
Enc Cnt: -5 | Angle: -1.0° || MPU1 Acc: -3.95, -1.94, -3.62 | Gyro: 93.7, 38.1, -302.5 || MPU2 Acc: 1.14, -3.70, -0.91 | Gyro: 11.0, 19.4, -205.4 || Time: 38223 ms
Enc Cnt: -10 | Angle: -2.2° || MPU1 Acc: 0.37, -0.87, -2.81 | Gyro: 106.0, 54.3, -316.8 || MPU2 Acc: 0.51, -2.08, -0.23 | Gyro: -1.6, 30.5, -198.9 || Time: 38233 ms
Enc Cnt: -16 | Angle: -3.7° || MPU1 Acc: 1.86, 0.95, -1.98 | Gyro: 120.5, 71.4, -324.4 || MPU2 Acc: 0.17, 1.41, -1.19 | Gyro: -18.1, 43.6, -182.5 || Time: 38243 ms
Enc Cnt: -23 | Angle: -5.5° || MPU1 Acc: -6.12, 0.67, 0.29 | Gyro: 137.4, 70.9, -288.5 || MPU2 Acc: 0.87, 8.58, -4.05 | Gyro: -31.9, 66.0, -161.5 || Time: 38253 ms
Enc Cnt: -25 | Angle: -6.2° || MPU1 Acc: -10.53, 1.23, -0.02 | Gyro: 129.7, 51.6, -92.8 || MPU2 Acc: 0.07, 13.82, 0.58 | Gyro: -30.3, 101.4, -137.7 || Time: 38264 ms
Enc Cnt: -23 | Angle: -5.7° || MPU1 Acc: -10.53, 7.42, -1.56 | Gyro: 94.9, 28.6, 26.2 || MPU2 Acc: 1.99, 1.28, -3.56 | Gyro: -11.3, 84.8, -80.1 || Time: 38273 ms
Enc Cnt: -19 | Angle: -4.7° || MPU1 Acc: -10.53, 3.67, -0.55 | Gyro: 85.7, -3.2, 111.4 || MPU2 Acc: 2.95, -0.81, -1.33 | Gyro: 9.9, 101.1, -23.8 || Time: 38283 ms
Enc Cnt: -14 | Angle: -3.5° || MPU1 Acc: -0.56, 5.52, 0.11 | Gyro: 68.4, -32.3, 138.0 || MPU2 Acc: -1.92, -2.60, -0.93 | Gyro: 21.3, 92.6, 18.0 || Time: 38294 ms
Enc Cnt: -10 | Angle: -2.7° || MPU1 Acc: 0.51, 2.43, 0.63 | Gyro: 65.4, -42.9, 135.2 || MPU2 Acc: -0.92, 1.17, 0.50 | Gyro: 27.0, 93.8, 34.4 || Time: 38304 ms
Enc Cnt: -7 | Angle: -1.8° || MPU1 Acc: 3.54, 3.58, -0.61 | Gyro: 58.3, -48.2, 133.8 || MPU2 Acc: -2.68, 2.46, 0.28 | Gyro: 22.5, 93.7, 44.9 || Time: 38314 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 4.44, 3.21, -0.01 | Gyro: 50.9, -43.2, 135.0 || MPU2 Acc: -2.54, 6.19, 0.46 | Gyro: 17.3, 84.4, 57.9 || Time: 38324 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 4.57, 3.37, -0.82 | Gyro: 40.9, -34.9, 149.8 || MPU2 Acc: -2.06, 6.31, 0.16 | Gyro: 10.0, 78.2, 72.3 || Time: 38335 ms
Enc Cnt: 1 | Angle: 0.0° || MPU1 Acc: 4.56, 3.17, -0.81 | Gyro: 34.2, -27.9, 160.5 || MPU2 Acc: -1.58, 6.52, -0.26 | Gyro: 2.9, 71.5, 86.0 || Time: 38344 ms
Enc Cnt: 3 | Angle: 0.8° || MPU1 Acc: 3.82, 3.19, -1.27 | Gyro: 25.6, -20.3, 176.0 || MPU2 Acc: -1.39, 5.90, -0.05 | Gyro: -4.6, 66.1, 103.3 || Time: 38354 ms
Enc Cnt: 6 | Angle: 1.5° || MPU1 Acc: 3.15, 3.07, -1.37 | Gyro: 12.8, -13.3, 193.8 || MPU2 Acc: -1.55, 5.82, -0.20 | Gyro: -13.7, 56.0, 125.1 || Time: 38366 ms
Enc Cnt: 8 | Angle: 2.0° || MPU1 Acc: 3.09, 3.07, -1.49 | Gyro: -0.4, -8.7, 209.0 || MPU2 Acc: -1.87, 4.98, -0.22 | Gyro: -19.3, 45.4, 142.3 || Time: 38376 ms
Enc Cnt: 11 | Angle: 2.5° || MPU1 Acc: 3.40, 2.78, -1.58 | Gyro: -13.7, -4.5, 216.9 || MPU2 Acc: -1.90, 4.62, -0.31 | Gyro: -25.3, 33.6, 156.1 || Time: 38386 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: 3.90, 2.52, -1.75 | Gyro: -29.0, 0.6, 220.2 || MPU2 Acc: -2.02, 4.26, 0.01 | Gyro: -30.7, 19.5, 169.3 || Time: 38397 ms
Enc Cnt: 15 | Angle: 3.5° || MPU1 Acc: 3.99, 2.23, -1.88 | Gyro: -41.4, 6.8, 219.0 || MPU2 Acc: -1.97, 4.24, -0.13 | Gyro: -35.4, 7.7, 179.9 || Time: 38406 ms
Enc Cnt: 16 | Angle: 4.0° || MPU1 Acc: 3.38, 1.86, -2.12 | Gyro: -53.8, 13.9, 219.3 || MPU2 Acc: -1.60, 4.27, -0.20 | Gyro: -41.9, -6.3, 188.2 || Time: 38416 ms
Enc Cnt: 18 | Angle: 4.5° || MPU1 Acc: 2.18, 1.56, -2.12 | Gyro: -68.5, 23.6, 225.4 || MPU2 Acc: -0.86, 4.05, 0.22 | Gyro: -50.1, -20.0, 201.1 || Time: 38428 ms
Enc Cnt: 19 | Angle: 4.7° || MPU1 Acc: 1.42, 1.43, -1.90 | Gyro: -79.1, 31.6, 232.6 || MPU2 Acc: -0.50, 3.49, 0.41 | Gyro: -56.1, -29.9, 213.7 || Time: 38437 ms
Enc Cnt: 20 | Angle: 5.0° || MPU1 Acc: 0.32, 0.91, -1.40 | Gyro: -88.9, 39.2, 241.0 || MPU2 Acc: 0.04, 2.69, 0.33 | Gyro: -63.2, -37.7, 227.2 || Time: 38447 ms
Enc Cnt: 21 | Angle: 5.2° || MPU1 Acc: -0.54, 0.02, -0.68 | Gyro: -92.6, 45.5, 247.8 || MPU2 Acc: 1.07, 1.72, 0.56 | Gyro: -69.0, -41.4, 238.1 || Time: 38457 ms
Enc Cnt: 21 | Angle: 5.2° || MPU1 Acc: -1.41, -1.24, 0.16 | Gyro: -90.0, 48.6, 252.0 || MPU2 Acc: 2.23, 1.00, 0.62 | Gyro: -73.4, -36.4, 248.2 || Time: 38467 ms
Enc Cnt: 22 | Angle: 5.5° || MPU1 Acc: -2.22, -2.42, 0.77 | Gyro: -82.0, 49.4, 255.6 || MPU2 Acc: 3.08, 0.19, 0.55 | Gyro: -76.7, -26.8, 254.4 || Time: 38477 ms
Enc Cnt: 22 | Angle: 5.5° || MPU1 Acc: -3.03, -3.30, 1.16 | Gyro: -68.2, 48.5, 257.2 || MPU2 Acc: 3.55, -0.50, 0.89 | Gyro: -79.6, -12.0, 256.0 || Time: 38488 ms
Enc Cnt: 22 | Angle: 5.5° || MPU1 Acc: -3.44, -3.59, 1.22 | Gyro: -55.2, 47.7, 257.6 || MPU2 Acc: 3.99, -1.05, 0.95 | Gyro: -81.4, 1.4, 255.4 || Time: 38498 ms
Enc Cnt: 22 | Angle: 5.5° || MPU1 Acc: -3.24, -3.56, 0.81 | Gyro: -43.6, 48.1, 254.6 || MPU2 Acc: 3.75, -1.47, 1.24 | Gyro: -83.2, 12.7, 255.4 || Time: 38508 ms
Enc Cnt: 22 | Angle: 5.5° || MPU1 Acc: -3.79, -3.30, 0.18 | Gyro: -35.0, 50.6, 248.1 || MPU2 Acc: 3.32, -2.02, 1.33 | Gyro: -86.8, 20.5, 254.8 || Time: 38518 ms
Enc Cnt: 21 | Angle: 5.2° || MPU1 Acc: -5.51, -2.91, -0.58 | Gyro: -32.0, 53.9, 245.6 || MPU2 Acc: 3.07, -2.76, 1.26 | Gyro: -89.6, 22.1, 252.6 || Time: 38529 ms
Enc Cnt: 21 | Angle: 5.2° || MPU1 Acc: -7.22, -2.55, -1.27 | Gyro: -34.5, 54.8, 250.1 || MPU2 Acc: 3.15, -3.57, 1.48 | Gyro: -91.2, 20.3, 256.0 || Time: 38538 ms
Enc Cnt: 20 | Angle: 5.0° || MPU1 Acc: -7.51, -2.65, -1.85 | Gyro: -42.5, 55.9, 256.2 || MPU2 Acc: 3.41, -4.04, 1.64 | Gyro: -93.0, 13.9, 261.7 || Time: 38548 ms
Enc Cnt: 20 | Angle: 5.0° || MPU1 Acc: -6.92, -3.23, -2.08 | Gyro: -53.9, 57.8, 256.1 || MPU2 Acc: 2.97, -4.81, 1.69 | Gyro: -93.8, 1.1, 264.1 || Time: 38559 ms
Enc Cnt: 19 | Angle: 4.7° || MPU1 Acc: -6.40, -3.90, -2.04 | Gyro: -63.6, 59.9, 247.4 || MPU2 Acc: 3.51, -5.13, 1.96 | Gyro: -93.1, -9.8, 262.8 || Time: 38569 ms
Enc Cnt: 19 | Angle: 4.7° || MPU1 Acc: -6.75, -4.56, -1.91 | Gyro: -72.7, 62.0, 234.6 || MPU2 Acc: 3.83, -5.66, 2.07 | Gyro: -92.1, -21.3, 261.1 || Time: 38579 ms
Enc Cnt: 17 | Angle: 4.2° || MPU1 Acc: -7.96, -5.48, -1.71 | Gyro: -82.4, 61.6, 221.6 || MPU2 Acc: 4.28, -6.24, 2.27 | Gyro: -88.8, -32.4, 254.3 || Time: 38591 ms
Enc Cnt: 16 | Angle: 4.0° || MPU1 Acc: -9.38, -5.89, -1.49 | Gyro: -90.2, 57.6, 214.2 || MPU2 Acc: 4.64, -7.36, 2.23 | Gyro: -83.3, -40.8, 247.5 || Time: 38601 ms
Enc Cnt: 16 | Angle: 4.0° || MPU1 Acc: -10.06, -6.25, -1.65 | Gyro: -98.7, 48.4, 208.0 || MPU2 Acc: 5.02, -8.37, 1.89 | Gyro: -74.3, -49.0, 240.8 || Time: 38611 ms
Enc Cnt: 15 | Angle: 3.7° || MPU1 Acc: -9.56, -7.22, -1.79 | Gyro: -106.7, 37.5, 199.8 || MPU2 Acc: 5.62, -8.23, 1.66 | Gyro: -62.3, -58.1, 232.3 || Time: 38621 ms
Enc Cnt: 14 | Angle: 3.5° || MPU1 Acc: -7.96, -8.15, -1.80 | Gyro: -111.2, 29.5, 188.7 || MPU2 Acc: 6.34, -7.23, 1.62 | Gyro: -54.0, -64.6, 223.6 || Time: 38631 ms
Enc Cnt: 14 | Angle: 3.5° || MPU1 Acc: -5.83, -9.13, -1.76 | Gyro: -114.0, 24.5, 173.7 || MPU2 Acc: 6.91, -5.84, 1.50 | Gyro: -47.6, -69.9, 209.5 || Time: 38641 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: -4.10, -9.77, -1.80 | Gyro: -114.2, 22.8, 155.5 || MPU2 Acc: 7.09, -4.23, 1.59 | Gyro: -43.3, -73.3, 192.2 || Time: 38652 ms
Enc Cnt: 12 | Angle: 3.0° || MPU1 Acc: -2.11, -9.38, -1.11 | Gyro: -113.7, 22.6, 142.0 || MPU2 Acc: 7.33, -2.27, 1.28 | Gyro: -43.0, -76.4, 180.6 || Time: 38661 ms
Enc Cnt: 12 | Angle: 3.0° || MPU1 Acc: -1.60, -11.60, -0.36 | Gyro: -114.1, 23.5, 127.9 || MPU2 Acc: 8.48, -1.37, 1.67 | Gyro: -35.3, -80.7, 167.5 || Time: 38671 ms
Enc Cnt: 11 | Angle: 2.7° || MPU1 Acc: -0.54, -13.18, 0.65 | Gyro: -105.3, 20.3, 108.2 || MPU2 Acc: 9.31, -1.61, 1.53 | Gyro: -31.0, -74.9, 141.0 || Time: 38683 ms
Enc Cnt: 10 | Angle: 2.5° || MPU1 Acc: 1.20, -14.63, 1.81 | Gyro: -91.7, 16.4, 83.4 || MPU2 Acc: 10.35, -1.14, 1.36 | Gyro: -22.5, -69.6, 116.3 || Time: 38692 ms
Enc Cnt: 10 | Angle: 2.5° || MPU1 Acc: 2.18, -16.53, 2.31 | Gyro: -71.5, 10.8, 54.5 || MPU2 Acc: 11.62, -0.16, 1.08 | Gyro: -15.6, -56.8, 83.3 || Time: 38702 ms
Enc Cnt: 9 | Angle: 2.2° || MPU1 Acc: 2.90, -18.51, 2.18 | Gyro: -39.3, 8.4, 24.7 || MPU2 Acc: 13.31, 1.96, 0.66 | Gyro: -11.7, -33.7, 38.6 || Time: 38714 ms
Enc Cnt: 9 | Angle: 2.2° || MPU1 Acc: 3.27, -18.37, 2.18 | Gyro: -11.0, 11.4, 9.7 || MPU2 Acc: 13.85, 3.36, 0.80 | Gyro: -12.1, -10.9, 3.5 || Time: 38724 ms
Enc Cnt: 10 | Angle: 2.5° || MPU1 Acc: 3.57, -16.54, 2.39 | Gyro: 12.4, 13.3, -5.1 || MPU2 Acc: 12.78, 2.93, 1.44 | Gyro: -11.0, 7.6, -24.8 || Time: 38734 ms
Enc Cnt: 6 | Angle: 1.8° || MPU1 Acc: -8.13, -16.59, 5.77 | Gyro: 26.9, -54.1, -122.3 || MPU2 Acc: 15.43, -4.01, 1.23 | Gyro: 10.5, 6.9, -62.0 || Time: 38745 ms
Enc Cnt: 4 | Angle: 1.0° || MPU1 Acc: 4.47, -2.71, 3.40 | Gyro: 25.9, -44.6, -139.9 || MPU2 Acc: 4.78, -1.25, -0.25 | Gyro: 32.7, 15.5, -79.3 || Time: 38754 ms
Enc Cnt: 1 | Angle: 0.5° || MPU1 Acc: 1.47, -9.35, 0.45 | Gyro: 23.4, -46.4, -166.0 || MPU2 Acc: 6.95, -1.89, 2.78 | Gyro: 42.8, -6.8, -91.6 || Time: 38764 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 1.60, 0.62, -3.02 | Gyro: 45.0, -49.6, -184.4 || MPU2 Acc: 3.55, -3.04, -0.57 | Gyro: 22.2, 4.6, -99.9 || Time: 38774 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: 9.95, 3.89, 5.27 | Gyro: 22.7, -36.8, -184.4 || MPU2 Acc: -0.08, 7.27, 2.24 | Gyro: 38.6, -21.0, -81.0 || Time: 38785 ms
Enc Cnt: -11 | Angle: -2.5° || MPU1 Acc: 6.99, 4.76, -0.76 | Gyro: 27.7, -38.7, -212.5 || MPU2 Acc: -12.18, 3.61, -1.14 | Gyro: 26.3, -6.7, -103.9 || Time: 38794 ms
Enc Cnt: -14 | Angle: -3.5° || MPU1 Acc: 3.71, 2.57, -1.10 | Gyro: 7.5, 2.0, -222.2 || MPU2 Acc: -9.92, 4.34, 1.07 | Gyro: 18.8, -45.4, -137.2 || Time: 38804 ms
Enc Cnt: -17 | Angle: -4.2° || MPU1 Acc: -8.33, -0.53, -3.88 | Gyro: -7.5, 10.5, -201.7 || MPU2 Acc: -0.21, -1.90, -2.94 | Gyro: 15.0, -68.6, -137.0 || Time: 38815 ms
Enc Cnt: -19 | Angle: -4.7° || MPU1 Acc: -6.01, -1.35, -1.91 | Gyro: -12.3, -4.9, -174.4 || MPU2 Acc: 1.50, -2.80, -1.50 | Gyro: 18.6, -62.0, -129.3 || Time: 38825 ms
Enc Cnt: -20 | Angle: -5.0° || MPU1 Acc: -0.58, 0.05, 0.56 | Gyro: -16.6, -7.8, -162.0 || MPU2 Acc: -0.49, 0.84, 1.53 | Gyro: 14.8, -55.0, -122.2 || Time: 38835 ms
Enc Cnt: -22 | Angle: -5.5° || MPU1 Acc: -1.39, -1.01, 0.63 | Gyro: -18.4, 4.0, -157.1 || MPU2 Acc: -0.36, 0.42, 1.08 | Gyro: 10.9, -58.3, -116.2 || Time: 38847 ms
Enc Cnt: -23 | Angle: -5.7° || MPU1 Acc: -3.65, -2.36, 1.65 | Gyro: -16.1, 0.6, -147.1 || MPU2 Acc: 0.46, -0.53, 0.26 | Gyro: 13.8, -54.1, -116.0 || Time: 38856 ms
Enc Cnt: -23 | Angle: -5.7° || MPU1 Acc: -3.15, -1.91, 1.98 | Gyro: -10.1, -1.3, -134.6 || MPU2 Acc: 0.17, -0.29, 0.83 | Gyro: 17.9, -45.4, -117.5 || Time: 38866 ms
Enc Cnt: -23 | Angle: -5.7° || MPU1 Acc: -8.19, -4.65, 2.55 | Gyro: -6.7, -0.0, -107.7 || MPU2 Acc: 2.24, -2.08, 1.69 | Gyro: 25.2, -31.2, -123.7 || Time: 38878 ms
Enc Cnt: -21 | Angle: -5.2° || MPU1 Acc: -6.12, -2.90, 1.05 | Gyro: 1.5, 3.5, -80.4 || MPU2 Acc: 2.67, -1.02, 2.37 | Gyro: 21.5, -17.9, -121.3 || Time: 38888 ms
Enc Cnt: -19 | Angle: -4.7° || MPU1 Acc: -5.17, -1.72, -0.57 | Gyro: 8.1, 14.1, -61.9 || MPU2 Acc: 4.10, -1.77, 1.51 | Gyro: 12.5, -4.1, -109.5 || Time: 38898 ms
Enc Cnt: -18 | Angle: -4.5° || MPU1 Acc: -2.66, -0.73, 0.33 | Gyro: 8.2, 19.4, -55.3 || MPU2 Acc: 1.42, -0.19, 2.42 | Gyro: 5.8, 0.9, -94.6 || Time: 38908 ms
Enc Cnt: -15 | Angle: -3.7° || MPU1 Acc: -1.98, -2.02, -2.59 | Gyro: 18.6, 2.2, -17.4 || MPU2 Acc: 5.66, -1.56, -5.12 | Gyro: -9.5, 6.5, -95.1 || Time: 38918 ms
Enc Cnt: -12 | Angle: -3.0° || MPU1 Acc: -0.09, -0.41, 4.08 | Gyro: 8.0, 13.6, -18.9 || MPU2 Acc: 1.16, 0.47, 1.45 | Gyro: 5.7, -9.6, -88.7 || Time: 38928 ms
Enc Cnt: -9 | Angle: -2.5° || MPU1 Acc: 0.55, -0.16, -0.03 | Gyro: 12.9, 8.9, -18.5 || MPU2 Acc: 0.24, 1.14, 0.75 | Gyro: 4.7, -2.1, -83.5 || Time: 38939 ms
Enc Cnt: -7 | Angle: -1.8° || MPU1 Acc: -3.26, -0.99, -4.21 | Gyro: 12.2, 8.0, -6.4 || MPU2 Acc: 0.98, 0.03, -2.14 | Gyro: 6.1, -9.9, -80.6 || Time: 38949 ms
Enc Cnt: -3 | Angle: -1.0° || MPU1 Acc: -0.27, -0.31, -0.52 | Gyro: 4.9, 1.5, 0.2 || MPU2 Acc: 1.10, 0.43, -0.14 | Gyro: 7.8, -8.1, -75.2 || Time: 38959 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.11, -0.12, -0.36 | Gyro: 4.0, 4.1, -0.0 || MPU2 Acc: 0.82, 0.16, 0.43 | Gyro: 7.7, -7.9, -69.4 || Time: 38969 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: 0.06, 0.10, -0.52 | Gyro: 3.2, 6.3, -0.5 || MPU2 Acc: 1.11, 0.03, 0.84 | Gyro: 3.7, -7.8, -64.7 || Time: 38979 ms
Enc Cnt: 4 | Angle: 1.0° || MPU1 Acc: 0.04, -0.05, 0.06 | Gyro: 2.1, 7.4, -0.6 || MPU2 Acc: 1.72, 0.16, 0.70 | Gyro: 0.6, -7.5, -58.1 || Time: 38989 ms
Enc Cnt: 7 | Angle: 1.5° || MPU1 Acc: 0.03, -0.07, 0.08 | Gyro: 1.5, 8.6, -0.5 || MPU2 Acc: 1.59, 0.18, 0.77 | Gyro: -2.5, -5.6, -51.5 || Time: 38999 ms
Enc Cnt: 9 | Angle: 2.0° || MPU1 Acc: 0.50, 0.35, -0.29 | Gyro: 0.6, 9.2, -0.6 || MPU2 Acc: 1.46, -0.02, 0.74 | Gyro: -5.7, -4.9, -45.7 || Time: 39010 ms
Enc Cnt: 10 | Angle: 2.5° || MPU1 Acc: 0.06, -0.03, -0.13 | Gyro: 0.3, 9.9, -0.2 || MPU2 Acc: 1.35, 0.16, 0.47 | Gyro: -6.0, -3.8, -41.5 || Time: 39019 ms
Enc Cnt: 12 | Angle: 3.0° || MPU1 Acc: 0.00, -0.06, -0.17 | Gyro: 0.3, 9.9, -0.4 || MPU2 Acc: 1.28, 0.00, 0.13 | Gyro: -7.2, -4.2, -38.0 || Time: 39029 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: 0.04, -0.06, -0.09 | Gyro: 0.2, 10.3, -0.3 || MPU2 Acc: 0.99, 0.14, 0.07 | Gyro: -7.7, -4.4, -36.3 || Time: 39039 ms
Enc Cnt: 14 | Angle: 3.5° || MPU1 Acc: -0.03, -0.08, -0.15 | Gyro: 0.2, 9.5, -0.3 || MPU2 Acc: 1.36, 0.04, -0.05 | Gyro: -6.6, -4.5, -33.6 || Time: 39049 ms
Enc Cnt: 16 | Angle: 4.0° || MPU1 Acc: 0.05, -0.12, -0.08 | Gyro: 0.2, 8.9, -0.4 || MPU2 Acc: 1.41, 0.13, 0.16 | Gyro: -7.4, -3.1, -30.5 || Time: 39059 ms
Enc Cnt: 17 | Angle: 4.2° || MPU1 Acc: 0.02, -0.06, -0.12 | Gyro: 0.5, 9.5, -0.7 || MPU2 Acc: 1.33, 0.09, 0.23 | Gyro: -9.1, -2.5, -27.4 || Time: 39070 ms
Enc Cnt: 18 | Angle: 4.5° || MPU1 Acc: 0.07, -0.09, -0.27 | Gyro: 0.3, 9.3, -0.6 || MPU2 Acc: 1.34, 0.07, -0.04 | Gyro: -9.9, -1.5, -25.1 || Time: 39080 ms
Enc Cnt: 19 | Angle: 4.7° || MPU1 Acc: 0.04, -0.01, -0.18 | Gyro: 0.3, 9.1, -0.6 || MPU2 Acc: 1.02, 0.05, -0.03 | Gyro: -8.9, -0.9, -23.8 || Time: 39090 ms
Enc Cnt: 20 | Angle: 5.0° || MPU1 Acc: 0.10, -0.09, -0.25 | Gyro: 0.3, 8.6, -0.9 || MPU2 Acc: 0.99, 0.12, -0.08 | Gyro: -8.5, -2.1, -23.4 || Time: 39101 ms
Enc Cnt: 21 | Angle: 5.0° || MPU1 Acc: 0.14, -0.05, -0.22 | Gyro: 0.0, 8.0, -0.8 || MPU2 Acc: 1.17, 0.06, -0.07 | Gyro: -8.3, -2.4, -23.3 || Time: 39110 ms
Enc Cnt: 21 | Angle: 5.2° || MPU1 Acc: 0.00, -0.07, -0.26 | Gyro: 0.2, 7.6, -0.8 || MPU2 Acc: 1.40, 0.15, -0.12 | Gyro: -7.4, -1.8, -22.0 || Time: 39120 ms
Enc Cnt: 22 | Angle: 5.5° || MPU1 Acc: -0.00, -0.07, -0.22 | Gyro: 0.4, 7.7, -0.8 || MPU2 Acc: 1.31, 0.14, -0.18 | Gyro: -7.9, -1.2, -20.7 || Time: 39130 ms
Enc Cnt: 23 | Angle: 5.7° || MPU1 Acc: -0.00, -0.12, -0.24 | Gyro: 0.4, 7.1, -0.9 || MPU2 Acc: 1.15, 0.15, -0.29 | Gyro: -7.3, -1.3, -20.4 || Time: 39141 ms
Enc Cnt: 24 | Angle: 6.0° || MPU1 Acc: 0.12, -0.10, -0.31 | Gyro: 0.4, 6.2, -0.8 || MPU2 Acc: 1.26, 0.17, -0.19 | Gyro: -6.2, -0.4, -20.0 || Time: 39150 ms
Enc Cnt: 24 | Angle: 6.0° || MPU1 Acc: -0.04, -0.11, -0.36 | Gyro: 0.7, 5.5, -0.7 || MPU2 Acc: 1.21, 0.06, -0.36 | Gyro: -6.2, -0.5, -19.4 || Time: 39160 ms
Enc Cnt: 25 | Angle: 6.2° || MPU1 Acc: -0.05, -0.12, -0.43 | Gyro: 0.8, 4.2, -0.7 || MPU2 Acc: 1.51, 0.25, -0.45 | Gyro: -4.6, 0.2, -18.8 || Time: 39172 ms
