=== New Logging Session ===
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.00, -0.00, 0.01 | Gyro: 0.1, 0.0, -0.2 || MPU2 Acc: -0.02, -0.02, 0.12 | Gyro: -0.3, 0.0, 0.1 || Time: 12029 ms
Enc Cnt: -15 | Angle: -3.7° || MPU1 Acc: 0.18, -3.39, -0.05 | Gyro: 4.9, -2.1, -22.9 || MPU2 Acc: 2.41, 0.19, 0.32 | Gyro: 6.1, -1.6, -22.4 || Time: 23173 ms
Enc Cnt: -15 | Angle: -3.7° || MPU1 Acc: 0.09, -3.62, -0.23 | Gyro: 6.5, -0.3, -25.2 || MPU2 Acc: 2.56, -0.02, 0.06 | Gyro: 6.1, -0.8, -24.9 || Time: 23183 ms
Enc Cnt: -15 | Angle: -3.7° || MPU1 Acc: 0.05, -3.80, -0.42 | Gyro: 9.4, 1.8, -28.1 || MPU2 Acc: 2.54, -0.18, -0.11 | Gyro: 3.6, 1.1, -29.1 || Time: 23193 ms
Enc Cnt: -15 | Angle: -3.7° || MPU1 Acc: -0.15, -3.90, -0.64 | Gyro: 12.9, 4.1, -31.8 || MPU2 Acc: 2.60, -0.48, -0.33 | Gyro: 2.9, 4.2, -34.3 || Time: 23203 ms
Enc Cnt: -15 | Angle: -3.7° || MPU1 Acc: -0.42, -3.93, -0.74 | Gyro: 17.5, 6.3, -37.0 || MPU2 Acc: 2.47, -1.05, -0.30 | Gyro: 2.2, 6.2, -41.0 || Time: 23214 ms
Enc Cnt: -16 | Angle: -4.0° || MPU1 Acc: -0.93, -4.12, -0.81 | Gyro: 21.4, 8.8, -43.4 || MPU2 Acc: 2.55, -1.88, -0.38 | Gyro: 3.5, 8.2, -47.5 || Time: 23224 ms
Enc Cnt: -16 | Angle: -4.0° || MPU1 Acc: -1.36, -4.03, -0.65 | Gyro: 26.2, 12.2, -51.4 || MPU2 Acc: 2.60, -2.49, -0.09 | Gyro: 3.3, 8.7, -55.0 || Time: 23234 ms
Enc Cnt: -16 | Angle: -4.0° || MPU1 Acc: -1.61, -4.13, -0.51 | Gyro: 31.6, 13.6, -58.7 || MPU2 Acc: 2.44, -1.99, 0.12 | Gyro: 3.4, 12.7, -63.2 || Time: 23246 ms
Enc Cnt: -16 | Angle: -4.0° || MPU1 Acc: -2.00, -4.02, -0.77 | Gyro: 34.0, 12.9, -62.6 || MPU2 Acc: 2.65, -1.70, -0.24 | Gyro: 4.6, 14.9, -69.4 || Time: 23256 ms
Enc Cnt: -16 | Angle: -4.0° || MPU1 Acc: -1.85, -3.90, -0.62 | Gyro: 35.5, 9.8, -64.2 || MPU2 Acc: 2.54, -1.50, -0.15 | Gyro: 6.3, 15.2, -74.3 || Time: 23266 ms
Enc Cnt: -16 | Angle: -4.0° || MPU1 Acc: -2.28, -3.03, -0.45 | Gyro: 35.2, 7.6, -64.1 || MPU2 Acc: 2.23, -1.78, 0.18 | Gyro: 9.0, 15.9, -76.3 || Time: 23276 ms
Enc Cnt: -15 | Angle: -3.7° || MPU1 Acc: -2.01, -2.90, -0.53 | Gyro: 35.9, 3.3, -62.4 || MPU2 Acc: 2.80, -0.66, 0.16 | Gyro: 10.0, 17.9, -76.3 || Time: 23286 ms
Enc Cnt: -15 | Angle: -3.7° || MPU1 Acc: -0.40, -3.39, -0.92 | Gyro: 36.7, 3.9, -56.2 || MPU2 Acc: 3.06, 0.60, 0.63 | Gyro: 8.6, 17.3, -73.6 || Time: 23296 ms
Enc Cnt: -14 | Angle: -3.5° || MPU1 Acc: -0.51, 1.56, 0.05 | Gyro: 41.0, 5.3, -41.3 || MPU2 Acc: 1.63, 1.73, -0.77 | Gyro: 2.6, 26.3, -59.8 || Time: 23307 ms
Enc Cnt: -14 | Angle: -3.5° || MPU1 Acc: -0.17, 2.66, -0.04 | Gyro: 41.5, 2.8, -17.2 || MPU2 Acc: 0.33, 4.20, -0.45 | Gyro: -1.3, 31.3, -36.8 || Time: 23317 ms
Enc Cnt: -13 | Angle: -3.2° || MPU1 Acc: 0.37, 4.74, -0.67 | Gyro: 31.9, 2.0, 17.5 || MPU2 Acc: -1.20, 3.87, -0.30 | Gyro: -4.3, 34.4, -9.0 || Time: 23327 ms
Enc Cnt: -13 | Angle: -3.2° || MPU1 Acc: 2.05, 5.61, -0.82 | Gyro: 20.2, 1.6, 31.2 || MPU2 Acc: -3.20, 2.34, -1.03 | Gyro: -7.1, 27.8, 14.7 || Time: 23337 ms
Enc Cnt: -12 | Angle: -3.0° || MPU1 Acc: 1.51, 4.71, -0.22 | Gyro: 16.0, -0.8, 40.0 || MPU2 Acc: -4.03, 2.68, -1.01 | Gyro: -9.1, 25.6, 26.6 || Time: 23347 ms
Enc Cnt: -12 | Angle: -3.0° || MPU1 Acc: 2.58, 4.84, 0.41 | Gyro: 12.1, 0.9, 53.4 || MPU2 Acc: -4.28, 3.20, -0.52 | Gyro: -8.7, 21.7, 37.9 || Time: 23357 ms
Enc Cnt: -11 | Angle: -2.7° || MPU1 Acc: 0.21, 4.02, 0.00 | Gyro: 6.2, -2.6, 69.4 || MPU2 Acc: -3.74, 4.03, -0.98 | Gyro: -10.7, 20.9, 48.3 || Time: 23367 ms
Enc Cnt: -10 | Angle: -2.5° || MPU1 Acc: 1.97, 4.52, 0.75 | Gyro: 1.7, -2.5, 91.1 || MPU2 Acc: -3.30, 3.75, -0.91 | Gyro: -9.4, 18.7, 60.8 || Time: 23377 ms
Enc Cnt: -9 | Angle: -2.2° || MPU1 Acc: 3.39, 4.54, 0.05 | Gyro: -1.0, -5.5, 100.4 || MPU2 Acc: -3.07, 3.22, -1.30 | Gyro: -9.8, 17.6, 75.0 || Time: 23387 ms
Enc Cnt: -8 | Angle: -2.0° || MPU1 Acc: 2.94, 2.85, -0.05 | Gyro: -5.0, -6.0, 108.9 || MPU2 Acc: -3.20, 4.30, -0.96 | Gyro: -10.6, 14.9, 83.4 || Time: 23397 ms
Enc Cnt: -7 | Angle: -1.8° || MPU1 Acc: 2.85, 2.68, -0.27 | Gyro: -9.9, -3.9, 121.6 || MPU2 Acc: -2.58, 3.92, -0.50 | Gyro: -12.9, 12.0, 91.0 || Time: 23408 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: 3.92, 2.71, -0.74 | Gyro: -15.0, -0.3, 125.7 || MPU2 Acc: -1.82, 3.88, -0.07 | Gyro: -18.1, 7.8, 101.8 || Time: 23418 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 3.34, 1.64, -0.26 | Gyro: -25.5, 5.4, 129.7 || MPU2 Acc: -1.92, 4.09, 0.69 | Gyro: -23.8, -0.9, 111.2 || Time: 23428 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 2.57, 1.04, -0.23 | Gyro: -42.7, 10.1, 130.1 || MPU2 Acc: -1.60, 2.52, 1.31 | Gyro: -25.1, -15.8, 122.1 || Time: 23440 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 1.94, 0.37, -0.36 | Gyro: -59.8, 9.1, 124.7 || MPU2 Acc: -1.37, 1.56, 1.32 | Gyro: -22.8, -33.1, 127.2 || Time: 23450 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 1.04, -0.87, -0.11 | Gyro: -77.9, 6.8, 119.7 || MPU2 Acc: -0.52, 0.95, 1.42 | Gyro: -16.3, -51.4, 130.8 || Time: 23460 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.38, -1.90, -0.64 | Gyro: -94.8, 3.3, 115.0 || MPU2 Acc: 0.61, 0.45, 1.10 | Gyro: -11.1, -68.9, 132.5 || Time: 23471 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.21, -3.06, -1.24 | Gyro: -108.1, 1.9, 111.2 || MPU2 Acc: 1.88, 0.37, 0.52 | Gyro: -8.2, -81.1, 132.2 || Time: 23480 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.35, -4.59, -1.85 | Gyro: -114.7, 3.2, 106.3 || MPU2 Acc: 3.30, 0.44, 0.10 | Gyro: -7.1, -90.5, 131.3 || Time: 23490 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.94, -6.30, -2.56 | Gyro: -120.1, 7.7, 95.5 || MPU2 Acc: 4.37, 0.26, -0.36 | Gyro: -9.6, -98.6, 125.5 || Time: 23501 ms
Enc Cnt: -4 | Angle: -0.8° || MPU1 Acc: 3.22, -6.51, 0.97 | Gyro: -121.1, 13.1, 84.9 || MPU2 Acc: 5.15, -1.52, 1.00 | Gyro: -11.8, -102.2, 114.3 || Time: 23511 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 1.25, -7.98, -3.50 | Gyro: -120.4, 18.5, 74.3 || MPU2 Acc: 6.33, -0.56, -2.16 | Gyro: -16.3, -106.4, 104.2 || Time: 23521 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 1.73, -9.01, -3.21 | Gyro: -117.7, 24.2, 61.8 || MPU2 Acc: 6.96, 0.82, -1.04 | Gyro: -19.6, -103.8, 92.3 || Time: 23533 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 0.64, -10.02, -3.19 | Gyro: -110.7, 27.3, 50.5 || MPU2 Acc: 8.55, 0.29, -2.30 | Gyro: -26.1, -97.3, 80.2 || Time: 23543 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: 1.79, -10.66, -1.89 | Gyro: -94.8, 31.0, 40.9 || MPU2 Acc: 9.38, 0.15, -2.24 | Gyro: -29.2, -85.9, 65.7 || Time: 23553 ms
Enc Cnt: -3 | Angle: -1.0° || MPU1 Acc: -10.38, -18.95, 4.06 | Gyro: -70.7, 21.2, 98.4 || MPU2 Acc: 12.73, -3.40, 0.52 | Gyro: -22.0, -76.9, 37.1 || Time: 23564 ms
Enc Cnt: 0 | Angle: -0.3° || MPU1 Acc: -10.38, -16.31, 7.06 | Gyro: -38.2, -23.6, 101.5 || MPU2 Acc: 12.50, -6.22, 2.15 | Gyro: 17.3, -28.6, 24.3 || Time: 23573 ms
Enc Cnt: 3 | Angle: 0.5° || MPU1 Acc: -0.21, -14.65, 5.24 | Gyro: 1.8, -48.8, 60.5 || MPU2 Acc: 15.80, -6.22, -1.00 | Gyro: 38.2, 13.9, 3.4 || Time: 23583 ms
Enc Cnt: 5 | Angle: 1.3° || MPU1 Acc: 2.67, -15.95, -2.61 | Gyro: 36.5, -34.0, 40.3 || MPU2 Acc: 13.85, 3.27, 0.69 | Gyro: 33.2, 45.3, -21.8 || Time: 23594 ms
Enc Cnt: 7 | Angle: 1.8° || MPU1 Acc: 0.30, -3.30, 0.70 | Gyro: 51.3, -24.7, 52.8 || MPU2 Acc: 7.23, 3.70, -0.33 | Gyro: 9.9, 66.7, 1.4 || Time: 23604 ms
Enc Cnt: 9 | Angle: 2.2° || MPU1 Acc: -0.14, -0.52, 0.27 | Gyro: 27.5, -20.7, 77.7 || MPU2 Acc: -0.17, 1.34, 2.50 | Gyro: 18.1, 52.6, 22.2 || Time: 23614 ms
Enc Cnt: 11 | Angle: 2.7° || MPU1 Acc: 0.55, 1.11, 8.01 | Gyro: 15.4, -2.0, 75.3 || MPU2 Acc: -7.76, -2.20, 9.63 | Gyro: 28.5, 22.3, 20.4 || Time: 23624 ms
Enc Cnt: 12 | Angle: 3.0° || MPU1 Acc: -0.66, 3.30, -1.67 | Gyro: -2.9, -27.6, -4.8 || MPU2 Acc: -2.31, -4.10, -4.36 | Gyro: 19.2, -3.2, 6.5 || Time: 23635 ms
Enc Cnt: 12 | Angle: 3.0° || MPU1 Acc: 0.71, -0.03, 0.58 | Gyro: -5.7, 7.4, 15.0 || MPU2 Acc: -3.47, 3.75, 6.13 | Gyro: 22.6, -15.5, 0.0 || Time: 23645 ms
Enc Cnt: 12 | Angle: 3.0° || MPU1 Acc: 0.42, -0.35, 2.97 | Gyro: 5.3, 11.7, 0.1 || MPU2 Acc: 3.13, -2.77, 1.10 | Gyro: 9.8, -9.8, -2.3 || Time: 23655 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: 0.36, 0.16, 0.78 | Gyro: -2.5, 16.2, 2.3 || MPU2 Acc: -1.98, 1.96, 4.60 | Gyro: 4.2, -12.8, -1.8 || Time: 23665 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: -0.03, 0.08, 0.12 | Gyro: -0.0, 13.2, 1.2 || MPU2 Acc: 0.29, 0.15, -0.14 | Gyro: -4.0, -11.7, -9.3 || Time: 23675 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: 0.06, 0.03, 0.01 | Gyro: -1.3, 14.5, 1.4 || MPU2 Acc: -0.37, 0.55, 0.89 | Gyro: -7.4, -13.7, -12.2 || Time: 23685 ms
Enc Cnt: 14 | Angle: 3.5° || MPU1 Acc: -0.03, 0.05, -0.10 | Gyro: 0.3, 14.5, 1.1 || MPU2 Acc: 0.09, 0.58, -0.04 | Gyro: -12.7, -10.0, -15.6 || Time: 23697 ms
Enc Cnt: 15 | Angle: 3.7° || MPU1 Acc: 0.25, 0.34, -0.05 | Gyro: -0.8, 14.6, 1.2 || MPU2 Acc: 0.44, -0.33, -0.40 | Gyro: -12.4, -10.8, -17.4 || Time: 23706 ms
Enc Cnt: 16 | Angle: 3.7° || MPU1 Acc: 0.05, 0.21, -0.38 | Gyro: -0.6, 11.8, 0.3 || MPU2 Acc: 0.78, -0.13, -0.67 | Gyro: -11.6, -8.0, -16.3 || Time: 23716 ms
Enc Cnt: 16 | Angle: 4.0° || MPU1 Acc: 0.04, 0.42, -1.09 | Gyro: -0.8, 9.2, 0.4 || MPU2 Acc: 1.08, 0.00, -0.53 | Gyro: -10.9, -5.1, -14.0 || Time: 23727 ms
Enc Cnt: 17 | Angle: 4.2° || MPU1 Acc: 0.05, 0.15, -0.21 | Gyro: -0.0, 8.9, 0.2 || MPU2 Acc: 1.19, -0.04, -0.09 | Gyro: -9.8, -2.8, -12.0 || Time: 23736 ms
Enc Cnt: 17 | Angle: 4.2° || MPU1 Acc: -0.02, 0.15, -0.45 | Gyro: 0.4, 8.0, 0.2 || MPU2 Acc: 1.25, -0.14, -0.44 | Gyro: -8.9, -1.8, -9.7 || Time: 23746 ms
Enc Cnt: 17 | Angle: 4.2° || MPU1 Acc: 0.04, 0.13, -0.35 | Gyro: 0.3, 5.4, -0.1 || MPU2 Acc: 0.96, -0.08, -0.66 | Gyro: -7.3, -1.1, -7.8 || Time: 23756 ms
Enc Cnt: 17 | Angle: 4.2° || MPU1 Acc: -0.00, 0.19, -0.36 | Gyro: 0.3, 3.1, -0.2 || MPU2 Acc: 1.28, -0.07, -0.45 | Gyro: -4.3, 0.3, -5.1 || Time: 23767 ms
Enc Cnt: 18 | Angle: 4.5° || MPU1 Acc: 0.03, 0.12, -0.38 | Gyro: 0.1, 1.6, -0.1 || MPU2 Acc: 1.11, -0.04, -0.39 | Gyro: -3.1, 1.0, -2.2 || Time: 23776 ms
Enc Cnt: 18 | Angle: 4.5° || MPU1 Acc: -0.03, 0.09, -0.30 | Gyro: 0.3, 0.4, -0.2 || MPU2 Acc: 0.95, -0.05, -0.44 | Gyro: -1.9, 0.6, -0.6 || Time: 23786 ms
Enc Cnt: 18 | Angle: 4.5° || MPU1 Acc: 0.02, 0.08, -0.17 | Gyro: 0.3, -0.5, -0.2 || MPU2 Acc: 1.01, 0.18, -0.04 | Gyro: -0.7, 0.8, 1.2 || Time: 23796 ms
Enc Cnt: 18 | Angle: 4.5° || MPU1 Acc: 0.03, 0.12, -0.25 | Gyro: 0.2, 0.3, -0.2 || MPU2 Acc: 0.96, 0.16, -0.03 | Gyro: -2.1, 0.7, 2.9 || Time: 23806 ms
Enc Cnt: 17 | Angle: 4.2° || MPU1 Acc: 0.02, 0.13, -0.28 | Gyro: 0.4, 0.5, -0.1 || MPU2 Acc: 0.84, 0.12, -0.09 | Gyro: -3.1, 0.8, 3.5 || Time: 23816 ms
Enc Cnt: 17 | Angle: 4.2° || MPU1 Acc: 0.02, 0.13, -0.18 | Gyro: 0.1, -0.1, -0.2 || MPU2 Acc: 0.80, 0.09, -0.16 | Gyro: -3.5, 2.4, 4.8 || Time: 23828 ms
Enc Cnt: 17 | Angle: 4.2° || MPU1 Acc: 0.04, 0.15, -0.28 | Gyro: 0.4, 0.6, -0.3 || MPU2 Acc: 0.56, 0.22, 0.05 | Gyro: -4.2, 2.4, 5.5 || Time: 23837 ms
Enc Cnt: 17 | Angle: 4.2° || MPU1 Acc: 0.07, 0.11, -0.21 | Gyro: 0.2, 1.1, -0.3 || MPU2 Acc: 0.60, 0.13, -0.12 | Gyro: -4.7, 2.0, 4.9 || Time: 23847 ms
Enc Cnt: 16 | Angle: 4.0° || MPU1 Acc: 0.05, 0.12, -0.28 | Gyro: 0.6, 0.8, -0.3 || MPU2 Acc: 0.48, 0.04, -0.34 | Gyro: -4.1, 2.2, 4.9 || Time: 23857 ms
Enc Cnt: 16 | Angle: 4.0° || MPU1 Acc: 0.06, 0.10, -0.33 | Gyro: 0.6, -0.6, -0.3 || MPU2 Acc: 0.68, 0.05, -0.49 | Gyro: -4.0, 2.8, 4.3 || Time: 23867 ms
Enc Cnt: 16 | Angle: 4.0° || MPU1 Acc: 0.03, 0.11, -0.31 | Gyro: 0.2, -1.0, -0.5 || MPU2 Acc: 0.28, 0.06, -0.40 | Gyro: -3.4, 2.9, 3.3 || Time: 23877 ms
Enc Cnt: 16 | Angle: 4.0° || MPU1 Acc: -0.04, 0.13, -0.32 | Gyro: 0.7, -1.3, -0.5 || MPU2 Acc: 0.43, 0.04, -0.45 | Gyro: -1.7, 3.3, 2.3 || Time: 23887 ms
Enc Cnt: 16 | Angle: 4.0° || MPU1 Acc: 0.04, 0.13, -0.32 | Gyro: 0.8, -2.4, -0.5 || MPU2 Acc: 0.31, 0.09, -0.53 | Gyro: -0.4, 3.2, 0.3 || Time: 23899 ms
Enc Cnt: 16 | Angle: 4.0° || MPU1 Acc: 0.07, 0.12, -0.33 | Gyro: 0.7, -3.3, -0.5 || MPU2 Acc: 0.24, 0.04, -0.46 | Gyro: -0.6, 3.9, -1.7 || Time: 23909 ms
Enc Cnt: 16 | Angle: 4.0° || MPU1 Acc: 0.01, 0.10, -0.33 | Gyro: 1.0, -4.6, -0.8 || MPU2 Acc: 0.25, 0.03, -0.37 | Gyro: 0.6, 4.4, -3.9 || Time: 23919 ms
Enc Cnt: 16 | Angle: 4.0° || MPU1 Acc: 0.04, 0.10, -0.32 | Gyro: 1.3, -6.4, -1.0 || MPU2 Acc: 0.24, -0.11, -0.71 | Gyro: 2.1, 5.3, -6.8 || Time: 23930 ms
Enc Cnt: 16 | Angle: 4.0° || MPU1 Acc: -0.00, 0.11, -0.20 | Gyro: 1.3, -8.3, -1.0 || MPU2 Acc: 0.07, 0.02, -0.67 | Gyro: 3.8, 5.7, -9.4 || Time: 23940 ms
Enc Cnt: 17 | Angle: 4.2° || MPU1 Acc: 0.20, 0.56, -0.10 | Gyro: 1.6, -8.9, -3.0 || MPU2 Acc: -0.05, -0.98, -0.09 | Gyro: 7.2, 6.0, -12.9 || Time: 23950 ms
Enc Cnt: 17 | Angle: 4.2° || MPU1 Acc: 0.03, 0.07, -0.07 | Gyro: 3.5, -13.2, -5.2 || MPU2 Acc: -0.12, 0.11, -0.72 | Gyro: 9.5, 8.5, -17.2 || Time: 23961 ms
Enc Cnt: 18 | Angle: 4.5° || MPU1 Acc: -0.06, 0.07, -0.33 | Gyro: 2.8, -15.0, -6.4 || MPU2 Acc: -0.18, -0.02, -0.78 | Gyro: 10.5, 7.8, -21.7 || Time: 23970 ms
Enc Cnt: 18 | Angle: 4.5° || MPU1 Acc: -0.03, 0.11, -0.24 | Gyro: 3.4, -15.2, -7.1 || MPU2 Acc: 0.04, 0.04, -0.00 | Gyro: 12.9, 7.4, -25.8 || Time: 23980 ms
Enc Cnt: 19 | Angle: 4.7° || MPU1 Acc: 0.37, 0.45, 0.54 | Gyro: 2.6, -15.5, -7.5 || MPU2 Acc: -0.16, -0.30, 0.99 | Gyro: 13.8, 6.7, -29.5 || Time: 23990 ms
Enc Cnt: 20 | Angle: 5.0° || MPU1 Acc: 0.30, 1.46, 0.71 | Gyro: 3.5, -8.8, -23.9 || MPU2 Acc: 0.16, -3.53, 1.99 | Gyro: 16.1, 4.3, -32.3 || Time: 24001 ms
Enc Cnt: 20 | Angle: 5.0° || MPU1 Acc: -3.94, -0.05, 7.57 | Gyro: 6.4, -21.2, -45.4 || MPU2 Acc: -0.26, -8.00, 5.90 | Gyro: 22.6, 1.5, -39.2 || Time: 24010 ms
Enc Cnt: 19 | Angle: 4.7° || MPU1 Acc: 0.21, 0.90, 3.42 | Gyro: -11.4, -29.6, -86.9 || MPU2 Acc: 1.60, -2.56, 1.25 | Gyro: 45.2, -20.9, -42.9 || Time: 24020 ms
Enc Cnt: 16 | Angle: 4.0° || MPU1 Acc: -0.24, 0.48, 1.28 | Gyro: 0.4, -21.4, -114.1 || MPU2 Acc: -1.69, -2.44, 0.33 | Gyro: 32.9, -16.6, -56.4 || Time: 24032 ms
Enc Cnt: 14 | Angle: 3.7° || MPU1 Acc: -1.95, 1.30, -0.10 | Gyro: -2.7, -13.8, -128.9 || MPU2 Acc: -1.32, -6.95, -0.71 | Gyro: 37.1, -22.4, -71.8 || Time: 24042 ms
Enc Cnt: 12 | Angle: 3.0° || MPU1 Acc: -1.94, 0.50, -0.99 | Gyro: 5.3, -19.1, -160.7 || MPU2 Acc: -2.55, -4.70, -0.28 | Gyro: 37.3, -17.5, -86.4 || Time: 24052 ms
Enc Cnt: 9 | Angle: 2.5° || MPU1 Acc: -1.56, 0.99, 0.17 | Gyro: 4.6, -11.6, -166.9 || MPU2 Acc: -1.32, -6.55, 0.79 | Gyro: 40.7, -22.9, -105.3 || Time: 24063 ms
Enc Cnt: 7 | Angle: 1.8° || MPU1 Acc: -4.20, 0.24, -0.99 | Gyro: 9.3, -18.9, -188.8 || MPU2 Acc: -0.33, -7.11, -0.83 | Gyro: 44.7, -21.6, -117.1 || Time: 24072 ms
Enc Cnt: 4 | Angle: 1.3° || MPU1 Acc: -7.56, -1.79, -0.51 | Gyro: 7.2, -27.0, -202.8 || MPU2 Acc: -1.67, -8.27, -1.01 | Gyro: 54.8, -25.2, -132.8 || Time: 24082 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: -10.03, -1.04, -0.64 | Gyro: 5.2, -39.1, -221.4 || MPU2 Acc: -1.80, -9.89, -0.51 | Gyro: 72.9, -30.9, -154.0 || Time: 24093 ms
Enc Cnt: 0 | Angle: 0.0° || MPU1 Acc: -10.38, -0.84, -0.24 | Gyro: 2.0, -62.9, -234.6 || MPU2 Acc: -2.18, -9.89, -1.86 | Gyro: 95.7, -34.1, -171.1 || Time: 24103 ms
Enc Cnt: -2 | Angle: -0.3° || MPU1 Acc: -10.38, -1.32, -0.53 | Gyro: -6.5, -80.9, -233.5 || MPU2 Acc: 0.41, -9.89, -0.73 | Gyro: 125.9, -42.0, -183.9 || Time: 24113 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -10.38, -1.53, -1.01 | Gyro: -13.1, -104.5, -242.7 || MPU2 Acc: 0.50, -9.89, -0.92 | Gyro: 151.0, -52.1, -186.4 || Time: 24125 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -8.64, -0.99, -1.05 | Gyro: -15.2, -108.0, -253.3 || MPU2 Acc: 0.43, -9.78, -1.11 | Gyro: 160.8, -54.3, -190.5 || Time: 24134 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: -7.89, 0.32, -2.39 | Gyro: -15.4, -116.8, -270.7 || MPU2 Acc: -2.52, -7.82, -1.49 | Gyro: 168.9, -60.9, -194.8 || Time: 24144 ms
Enc Cnt: -8 | Angle: -2.0° || MPU1 Acc: -7.38, -0.35, -1.86 | Gyro: -18.2, -128.3, -286.9 || MPU2 Acc: -1.65, -5.40, -2.97 | Gyro: 176.0, -64.7, -205.3 || Time: 24156 ms
Enc Cnt: -10 | Angle: -2.5° || MPU1 Acc: -9.65, 1.92, -3.28 | Gyro: -22.8, -137.9, -265.3 || MPU2 Acc: -1.29, -4.70, -4.52 | Gyro: 179.8, -66.6, -200.7 || Time: 24165 ms
Enc Cnt: -11 | Angle: -2.7° || MPU1 Acc: -6.98, 6.79, -3.34 | Gyro: -38.2, -143.9, -243.2 || MPU2 Acc: -2.87, -3.56, -2.67 | Gyro: 188.5, -75.7, -180.2 || Time: 24175 ms
Enc Cnt: -13 | Angle: -3.0° || MPU1 Acc: 2.80, 11.49, -6.08 | Gyro: -70.4, -155.0, -234.3 || MPU2 Acc: -7.04, -0.02, -4.52 | Gyro: 179.5, -95.9, -133.9 || Time: 24187 ms
Enc Cnt: -15 | Angle: -3.7° || MPU1 Acc: -5.67, 9.20, -11.51 | Gyro: -102.7, -149.7, -219.1 || MPU2 Acc: -8.10, 6.66, -6.37 | Gyro: 167.6, -137.4, -97.5 || Time: 24196 ms
Enc Cnt: -15 | Angle: -3.7° || MPU1 Acc: -3.34, 9.99, -6.27 | Gyro: -139.6, -117.5, -98.7 || MPU2 Acc: -5.92, 8.81, -3.24 | Gyro: 151.3, -153.5, -58.8 || Time: 24206 ms
Enc Cnt: -14 | Angle: -3.5° || MPU1 Acc: 5.47, 11.45, -7.28 | Gyro: -147.0, -99.8, -27.5 || MPU2 Acc: -2.35, 5.97, -6.22 | Gyro: 119.4, -150.2, -7.8 || Time: 24217 ms
Enc Cnt: -13 | Angle: -3.2° || MPU1 Acc: 7.28, 7.00, -5.23 | Gyro: -148.9, -87.5, -7.4 || MPU2 Acc: -3.37, 7.38, -6.26 | Gyro: 97.7, -145.3, 24.0 || Time: 24227 ms
Enc Cnt: -12 | Angle: -3.0° || MPU1 Acc: 4.79, 5.08, -5.24 | Gyro: -148.8, -68.4, 3.8 || MPU2 Acc: -4.11, 3.71, -4.23 | Gyro: 82.8, -140.8, 33.7 || Time: 24237 ms
Enc Cnt: -12 | Angle: -3.0° || MPU1 Acc: 3.88, 4.57, -4.15 | Gyro: -137.6, -54.8, 2.8 || MPU2 Acc: -2.98, 3.27, -5.03 | Gyro: 66.1, -129.7, 40.5 || Time: 24249 ms
Enc Cnt: -11 | Angle: -2.7° || MPU1 Acc: 2.66, 5.19, -3.10 | Gyro: -130.4, -48.2, 17.5 || MPU2 Acc: -2.98, 3.72, -4.57 | Gyro: 58.7, -121.7, 52.0 || Time: 24258 ms
Enc Cnt: -11 | Angle: -2.7° || MPU1 Acc: 3.24, 5.65, -2.20 | Gyro: -122.4, -47.0, 35.6 || MPU2 Acc: -2.40, 4.28, -4.59 | Gyro: 52.2, -108.7, 69.4 || Time: 24268 ms
Enc Cnt: -11 | Angle: -2.7° || MPU1 Acc: 2.39, 5.24, -2.41 | Gyro: -112.8, -47.2, 66.6 || MPU2 Acc: -2.46, 4.69, -4.60 | Gyro: 46.6, -93.2, 92.0 || Time: 24280 ms
Enc Cnt: -10 | Angle: -2.5° || MPU1 Acc: 3.21, 5.07, -2.62 | Gyro: -106.0, -45.4, 89.3 || MPU2 Acc: -2.31, 5.00, -4.32 | Gyro: 40.0, -79.4, 108.1 || Time: 24290 ms
Enc Cnt: -10 | Angle: -2.5° || MPU1 Acc: 3.37, 4.61, -2.80 | Gyro: -96.1, -38.9, 112.0 || MPU2 Acc: -2.06, 5.23, -4.05 | Gyro: 30.7, -67.0, 125.1 || Time: 24300 ms
