=== New Logging Session ===
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.02, 0.05, -0.14 | Gyro: -0.2, 0.0, 0.1 || MPU2 Acc: 0.08, 0.05, -0.04 | Gyro: -0.3, -0.1, 0.3 || Time: 12006 ms
Enc Cnt: -11 | Angle: -2.7° || MPU1 Acc: 11.63, -5.45, -0.42 | Gyro: 4.3, -0.8, -180.8 || MPU2 Acc: 3.26, 4.62, 0.35 | Gyro: 22.5, -29.3, -89.4 || Time: 17556 ms
Enc Cnt: -15 | Angle: -3.7° || MPU1 Acc: 2.30, 0.63, 3.91 | Gyro: 10.3, 3.6, -188.7 || MPU2 Acc: 0.33, -0.09, 0.73 | Gyro: 21.0, -38.0, -76.1 || Time: 17565 ms
Enc Cnt: -20 | Angle: -4.7° || MPU1 Acc: -0.66, 1.17, -2.77 | Gyro: 15.8, -6.1, -192.6 || MPU2 Acc: -1.16, -0.79, -0.33 | Gyro: 10.8, -11.1, -64.8 || Time: 17575 ms
Enc Cnt: -25 | Angle: -6.2° || MPU1 Acc: -6.61, -0.89, -1.58 | Gyro: 9.7, 9.5, -168.2 || MPU2 Acc: -2.29, -3.75, -0.71 | Gyro: 17.1, -26.3, -71.6 || Time: 17587 ms
Enc Cnt: -29 | Angle: -7.0° || MPU1 Acc: -3.51, -0.41, 0.15 | Gyro: 13.7, -5.7, -157.5 || MPU2 Acc: -4.55, 0.03, 0.36 | Gyro: 19.5, -13.6, -78.0 || Time: 17597 ms
Enc Cnt: -32 | Angle: -7.7° || MPU1 Acc: -0.83, 1.03, -1.07 | Gyro: 12.7, -7.1, -150.3 || MPU2 Acc: -2.92, -0.35, -0.69 | Gyro: 15.8, -15.8, -83.8 || Time: 17607 ms
Enc Cnt: -34 | Angle: -8.5° || MPU1 Acc: 0.17, 0.95, -0.43 | Gyro: 6.2, 1.3, -146.0 || MPU2 Acc: -2.49, 0.31, -0.02 | Gyro: 13.6, -25.1, -82.8 || Time: 17617 ms
Enc Cnt: -37 | Angle: -9.0° || MPU1 Acc: -1.00, 0.47, -0.98 | Gyro: -0.4, 4.7, -143.8 || MPU2 Acc: -1.85, -0.43, 0.30 | Gyro: 9.3, -27.2, -78.2 || Time: 17627 ms
Enc Cnt: -39 | Angle: -9.8° || MPU1 Acc: -0.69, 0.50, -1.39 | Gyro: -5.5, 7.6, -140.5 || MPU2 Acc: -2.71, -0.34, -0.36 | Gyro: 5.5, -31.0, -75.2 || Time: 17637 ms
Enc Cnt: -42 | Angle: -10.5° || MPU1 Acc: 0.19, 0.38, -0.60 | Gyro: -11.7, 10.0, -138.1 || MPU2 Acc: -2.93, 0.13, -0.43 | Gyro: 6.3, -35.7, -75.7 || Time: 17648 ms
Enc Cnt: -44 | Angle: -11.0° || MPU1 Acc: -1.10, 0.21, -0.48 | Gyro: -16.5, 11.8, -136.4 || MPU2 Acc: -2.14, -0.73, -0.24 | Gyro: 4.9, -39.5, -78.5 || Time: 17658 ms
Enc Cnt: -46 | Angle: -11.5° || MPU1 Acc: -4.14, -1.09, 1.18 | Gyro: -28.3, 18.7, -129.7 || MPU2 Acc: -3.00, -1.23, 1.05 | Gyro: 11.0, -50.9, -79.5 || Time: 17668 ms
Enc Cnt: -47 | Angle: -11.8° || MPU1 Acc: -10.46, -4.46, -0.36 | Gyro: -35.8, 31.7, -107.0 || MPU2 Acc: -2.09, -4.89, 0.29 | Gyro: 15.7, -62.5, -85.4 || Time: 17678 ms
Enc Cnt: -44 | Angle: -11.3° || MPU1 Acc: -10.46, -4.90, -3.23 | Gyro: -25.7, 0.0, -29.2 || MPU2 Acc: 5.81, -3.77, -4.09 | Gyro: 7.6, -30.4, -97.9 || Time: 17691 ms
Enc Cnt: -41 | Angle: -10.5° || MPU1 Acc: -9.09, -3.68, -0.10 | Gyro: -17.0, 8.4, -2.9 || MPU2 Acc: 0.08, 1.12, 1.07 | Gyro: 11.3, -20.3, -87.1 || Time: 17700 ms
Enc Cnt: -38 | Angle: -9.5° || MPU1 Acc: 2.26, -0.64, 3.68 | Gyro: -6.0, 6.4, -4.4 || MPU2 Acc: -0.90, 0.58, 0.69 | Gyro: 1.8, -1.7, -81.5 || Time: 17710 ms
Enc Cnt: -35 | Angle: -8.8° || MPU1 Acc: -2.30, 1.12, -9.98 | Gyro: -10.6, -0.6, 2.2 || MPU2 Acc: -1.59, 0.41, -1.02 | Gyro: -3.1, -7.0, -77.8 || Time: 17721 ms
Enc Cnt: -32 | Angle: -8.0° || MPU1 Acc: -6.81, -4.61, 8.95 | Gyro: -1.2, 19.1, -5.8 || MPU2 Acc: -0.47, 2.73, -0.55 | Gyro: -2.0, -7.0, -80.0 || Time: 17730 ms
Enc Cnt: -29 | Angle: -7.2° || MPU1 Acc: -4.11, -0.27, -5.59 | Gyro: -3.3, 14.3, -5.5 || MPU2 Acc: 0.09, 0.36, -1.06 | Gyro: -3.2, -9.4, -75.4 || Time: 17740 ms
Enc Cnt: -24 | Angle: -6.2° || MPU1 Acc: 0.85, 0.24, 1.15 | Gyro: -0.9, 10.7, -0.8 || MPU2 Acc: 0.53, -0.45, 0.66 | Gyro: -6.9, -0.8, -60.1 || Time: 17758 ms
Enc Cnt: -22 | Angle: -5.7° || MPU1 Acc: -0.05, 0.07, -0.07 | Gyro: 0.2, 13.1, -0.5 || MPU2 Acc: -0.05, -0.04, 0.38 | Gyro: -9.0, -2.3, -55.0 || Time: 17768 ms
Enc Cnt: -20 | Angle: -5.0° || MPU1 Acc: 0.02, 0.00, -0.02 | Gyro: 0.3, 12.8, -0.6 || MPU2 Acc: 0.13, -0.16, -0.06 | Gyro: -9.9, -2.8, -50.9 || Time: 17778 ms
Enc Cnt: -18 | Angle: -4.7° || MPU1 Acc: -0.14, 0.05, -0.52 | Gyro: 0.2, 11.4, -0.3 || MPU2 Acc: 0.22, -0.30, -0.44 | Gyro: -9.5, -3.7, -46.4 || Time: 17788 ms
Enc Cnt: -17 | Angle: -4.2° || MPU1 Acc: 0.09, 0.07, 0.01 | Gyro: 0.9, 10.7, -0.4 || MPU2 Acc: 0.41, -0.31, -0.31 | Gyro: -7.8, -3.1, -41.6 || Time: 17798 ms
Enc Cnt: -15 | Angle: -3.7° || MPU1 Acc: -0.09, 0.17, -0.33 | Gyro: -0.2, 8.2, -0.4 || MPU2 Acc: 0.33, -0.30, -0.65 | Gyro: -7.1, -2.2, -37.2 || Time: 17808 ms
Enc Cnt: -14 | Angle: -3.5° || MPU1 Acc: 0.18, 0.27, -0.56 | Gyro: 0.4, 7.1, -0.5 || MPU2 Acc: 0.10, -0.11, -0.29 | Gyro: -6.0, -2.8, -33.6 || Time: 17819 ms
Enc Cnt: -13 | Angle: -3.2° || MPU1 Acc: -0.30, 0.02, -0.31 | Gyro: 0.8, 5.7, -0.3 || MPU2 Acc: 0.03, -0.33, -0.47 | Gyro: -4.8, -2.3, -31.3 || Time: 17829 ms
Enc Cnt: -11 | Angle: -2.7° || MPU1 Acc: 0.03, 0.06, 0.08 | Gyro: 0.2, 5.4, -0.6 || MPU2 Acc: -0.24, -0.23, -0.38 | Gyro: -3.5, -3.3, -29.6 || Time: 17839 ms
Enc Cnt: -10 | Angle: -2.5° || MPU1 Acc: -0.05, 0.12, -0.28 | Gyro: 0.5, 4.2, -0.4 || MPU2 Acc: -0.11, -0.23, -0.65 | Gyro: -1.8, -4.1, -28.4 || Time: 17851 ms
Enc Cnt: -9 | Angle: -2.2° || MPU1 Acc: -0.04, 0.14, -0.48 | Gyro: 0.6, 2.4, -0.6 || MPU2 Acc: -0.06, -0.22, -0.61 | Gyro: -1.3, -3.9, -28.0 || Time: 17861 ms
Enc Cnt: -8 | Angle: -2.0° || MPU1 Acc: 0.09, 0.06, -0.09 | Gyro: 0.6, 1.1, 2.1 || MPU2 Acc: 0.20, -0.10, -0.60 | Gyro: 1.0, -2.7, -26.5 || Time: 17871 ms
Enc Cnt: -7 | Angle: -1.8° || MPU1 Acc: 0.08, 0.09, -0.03 | Gyro: 0.6, 0.5, -1.1 || MPU2 Acc: 0.25, -0.19, -0.25 | Gyro: 1.3, -1.5, -24.1 || Time: 17882 ms
Enc Cnt: -6 | Angle: -1.5° || MPU1 Acc: 0.02, 0.08, 0.03 | Gyro: 1.2, -0.8, -1.4 || MPU2 Acc: 0.04, -0.08, -0.24 | Gyro: 0.1, -0.0, -23.0 || Time: 17892 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.02, 0.17, -0.49 | Gyro: 0.8, -0.6, -1.9 || MPU2 Acc: 0.03, -0.10, -0.44 | Gyro: -0.8, 0.6, -22.7 || Time: 17902 ms
Enc Cnt: -4 | Angle: -1.0° || MPU1 Acc: -0.04, 0.14, -0.62 | Gyro: 0.9, -0.9, -2.4 || MPU2 Acc: -0.07, 0.00, -0.43 | Gyro: 0.7, 1.1, -22.4 || Time: 17912 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.08, 0.04, -0.24 | Gyro: 1.0, -2.0, -2.4 || MPU2 Acc: -0.14, -0.16, -0.41 | Gyro: 2.4, 0.7, -22.6 || Time: 17923 ms
Enc Cnt: -2 | Angle: -0.8° || MPU1 Acc: 0.12, 0.13, 0.07 | Gyro: 0.9, -2.8, -2.3 || MPU2 Acc: 0.03, -0.00, -0.32 | Gyro: 3.0, 0.8, -23.2 || Time: 17933 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.24, -0.07, 0.30 | Gyro: 0.7, -2.6, -2.1 || MPU2 Acc: 0.12, -0.09, 0.01 | Gyro: 4.1, 1.0, -22.8 || Time: 17943 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.24, -0.05, -0.65 | Gyro: 0.9, -2.7, -2.2 || MPU2 Acc: 0.45, 0.13, -0.25 | Gyro: 2.8, 1.5, -21.8 || Time: 17953 ms
Enc Cnt: 0 | Angle: 0.0° || MPU1 Acc: -0.06, -0.10, -0.21 | Gyro: 0.4, -2.3, -2.0 || MPU2 Acc: 0.27, 0.23, -0.28 | Gyro: 1.4, 2.3, -20.9 || Time: 17963 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.31, -0.13, -0.39 | Gyro: 0.5, -1.1, -1.5 || MPU2 Acc: 0.36, 0.24, -0.27 | Gyro: 1.3, 1.5, -20.5 || Time: 17973 ms
Enc Cnt: 2 | Angle: 0.3° || MPU1 Acc: 0.25, 0.13, 0.22 | Gyro: 0.5, -0.2, -1.5 || MPU2 Acc: 0.06, -0.08, 0.21 | Gyro: 1.0, 0.8, -19.5 || Time: 17985 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: 0.06, 0.27, 0.22 | Gyro: 0.4, 2.2, -3.1 || MPU2 Acc: 0.18, -0.82, 0.46 | Gyro: 0.8, -0.0, -19.0 || Time: 17994 ms
Enc Cnt: 3 | Angle: 0.8° || MPU1 Acc: 0.10, 0.17, -0.08 | Gyro: 2.8, -1.2, -8.3 || MPU2 Acc: 0.39, -0.66, -0.55 | Gyro: -0.2, 3.0, -19.7 || Time: 18004 ms
Enc Cnt: 3 | Angle: 0.8° || MPU1 Acc: 0.11, 0.00, 0.17 | Gyro: 2.3, -2.5, -8.1 || MPU2 Acc: 0.23, 0.13, -0.25 | Gyro: 2.6, 1.4, -20.0 || Time: 18014 ms
Enc Cnt: 4 | Angle: 1.0° || MPU1 Acc: 0.06, 0.01, -0.12 | Gyro: 2.7, -2.8, -7.9 || MPU2 Acc: 0.49, 0.01, -0.18 | Gyro: 2.5, 2.2, -19.9 || Time: 18024 ms
Enc Cnt: 4 | Angle: 1.0° || MPU1 Acc: -0.10, -0.14, -0.26 | Gyro: 1.9, -4.0, -7.7 || MPU2 Acc: 0.50, 0.19, -0.59 | Gyro: 2.1, 2.0, -20.3 || Time: 18034 ms
Enc Cnt: 5 | Angle: 1.3° || MPU1 Acc: 0.07, 0.05, -0.05 | Gyro: 2.6, -2.9, -8.4 || MPU2 Acc: 0.51, -0.06, -0.25 | Gyro: 3.5, 2.2, -20.4 || Time: 18044 ms
Enc Cnt: 7 | Angle: 1.8° || MPU1 Acc: 0.26, 0.19, 0.10 | Gyro: 3.2, -3.2, -12.7 || MPU2 Acc: 0.25, -0.51, -0.00 | Gyro: 7.1, -0.7, -24.4 || Time: 18088 ms
Enc Cnt: 7 | Angle: 1.8° || MPU1 Acc: -0.03, -0.03, -0.19 | Gyro: 3.8, -6.3, -14.9 || MPU2 Acc: 0.39, -0.15, -0.43 | Gyro: 8.2, 0.7, -25.7 || Time: 18098 ms
Enc Cnt: 8 | Angle: 2.0° || MPU1 Acc: -0.01, 0.12, 2.22 | Gyro: 4.5, -0.1, -13.7 || MPU2 Acc: -0.61, -0.85, 3.73 | Gyro: 12.6, -0.8, -26.1 || Time: 18108 ms
Enc Cnt: 8 | Angle: 2.0° || MPU1 Acc: 0.29, 0.03, 0.11 | Gyro: 4.8, -5.1, -16.4 || MPU2 Acc: 0.33, 0.01, -0.38 | Gyro: 8.2, -0.8, -27.4 || Time: 18119 ms
Enc Cnt: 9 | Angle: 2.2° || MPU1 Acc: 0.04, -0.22, -0.09 | Gyro: 4.5, -6.6, -16.3 || MPU2 Acc: 0.58, 0.23, -0.20 | Gyro: 10.1, -0.4, -28.1 || Time: 18129 ms
Enc Cnt: 9 | Angle: 2.2° || MPU1 Acc: 0.26, 0.15, -1.15 | Gyro: 3.1, -7.5, -16.6 || MPU2 Acc: 0.76, -0.09, -1.60 | Gyro: 9.7, -1.7, -28.7 || Time: 18139 ms
Enc Cnt: 10 | Angle: 2.5° || MPU1 Acc: -0.64, -0.61, 0.42 | Gyro: 4.3, -6.9, -16.1 || MPU2 Acc: 0.34, -0.05, 0.95 | Gyro: 12.1, -0.5, -29.4 || Time: 18149 ms
Enc Cnt: 11 | Angle: 2.5° || MPU1 Acc: -0.04, -0.22, -0.20 | Gyro: 4.1, -7.6, -16.6 || MPU2 Acc: 0.98, 0.18, -0.18 | Gyro: 12.1, 1.1, -29.0 || Time: 18159 ms
Enc Cnt: 11 | Angle: 2.7° || MPU1 Acc: 0.03, -0.18, -0.12 | Gyro: 4.5, -8.3, -16.5 || MPU2 Acc: 1.34, 0.11, -0.44 | Gyro: 11.6, 2.0, -28.3 || Time: 18169 ms
Enc Cnt: 12 | Angle: 3.0° || MPU1 Acc: -0.27, -0.32, -0.04 | Gyro: 4.5, -9.4, -18.4 || MPU2 Acc: 1.13, 0.19, -0.10 | Gyro: 11.5, 2.5, -28.8 || Time: 18179 ms
Enc Cnt: 12 | Angle: 3.0° || MPU1 Acc: -0.46, -0.46, 0.05 | Gyro: 5.2, -7.3, -20.6 || MPU2 Acc: 1.13, -0.35, 0.50 | Gyro: 12.1, 2.6, -28.4 || Time: 18189 ms
Enc Cnt: 12 | Angle: 3.0° || MPU1 Acc: -0.07, -0.40, 0.10 | Gyro: 5.3, -7.9, -21.9 || MPU2 Acc: 1.40, 0.12, 0.19 | Gyro: 10.0, 3.1, -28.2 || Time: 18199 ms
Enc Cnt: 12 | Angle: 3.0° || MPU1 Acc: -0.01, -0.41, 0.09 | Gyro: 5.7, -7.1, -23.0 || MPU2 Acc: 1.17, 0.28, 0.17 | Gyro: 9.3, 2.5, -27.7 || Time: 18209 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: 0.01, -0.56, 0.06 | Gyro: 5.5, -6.7, -23.5 || MPU2 Acc: 1.22, 0.39, 0.08 | Gyro: 8.3, 2.9, -27.6 || Time: 18221 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: -0.15, -0.57, 0.05 | Gyro: 5.6, -6.1, -24.1 || MPU2 Acc: 1.16, 0.28, 0.00 | Gyro: 8.4, 2.7, -27.3 || Time: 18231 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: -0.07, -0.53, -0.03 | Gyro: 5.6, -6.4, -24.7 || MPU2 Acc: 1.33, 0.25, 0.01 | Gyro: 8.5, 3.4, -27.1 || Time: 18241 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: -0.07, -0.62, -0.01 | Gyro: 5.6, -6.5, -25.6 || MPU2 Acc: 1.17, 0.34, 0.04 | Gyro: 8.6, 2.7, -27.9 || Time: 18251 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: -0.06, -0.60, 0.11 | Gyro: 6.2, -5.8, -26.7 || MPU2 Acc: 1.32, 0.21, -0.19 | Gyro: 9.6, 2.8, -28.1 || Time: 18261 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: 0.01, -0.65, 0.06 | Gyro: 6.1, -6.7, -27.5 || MPU2 Acc: 1.25, 0.38, 0.05 | Gyro: 9.2, 2.0, -29.0 || Time: 18271 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: -0.02, -0.76, 0.17 | Gyro: 6.4, -6.3, -29.5 || MPU2 Acc: 1.34, 0.36, 0.06 | Gyro: 9.0, 2.2, -29.7 || Time: 18284 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: -0.14, -0.77, -0.00 | Gyro: 6.5, -5.5, -30.8 || MPU2 Acc: 1.46, 0.36, 0.22 | Gyro: 8.5, 1.7, -30.8 || Time: 18293 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: -0.04, -0.84, 0.08 | Gyro: 6.8, -4.5, -32.4 || MPU2 Acc: 1.42, 0.34, 0.23 | Gyro: 8.6, 1.8, -31.5 || Time: 18303 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: -0.09, -0.80, 0.01 | Gyro: 7.3, -4.1, -34.4 || MPU2 Acc: 1.46, 0.44, 0.36 | Gyro: 7.9, 1.3, -32.9 || Time: 18315 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: 0.06, -1.02, 0.17 | Gyro: 7.4, -3.7, -35.7 || MPU2 Acc: 1.58, 0.40, 0.21 | Gyro: 8.2, 1.8, -33.9 || Time: 18325 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: 0.07, -1.17, 0.08 | Gyro: 8.2, -3.1, -37.3 || MPU2 Acc: 1.66, 0.48, 0.15 | Gyro: 7.6, 2.1, -34.6 || Time: 18335 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: 0.11, -1.41, 0.05 | Gyro: 10.2, -1.7, -38.6 || MPU2 Acc: 1.89, 0.76, 0.10 | Gyro: 5.2, 3.7, -36.1 || Time: 18345 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: 0.16, -1.18, 0.30 | Gyro: 11.5, -0.4, -40.4 || MPU2 Acc: 1.97, 0.42, 0.26 | Gyro: 3.7, 5.6, -35.9 || Time: 18357 ms
Enc Cnt: 13 | Angle: 3.2° || MPU1 Acc: 0.30, -1.21, 0.57 | Gyro: 12.0, 0.2, -42.1 || MPU2 Acc: 1.73, 0.60, 0.41 | Gyro: 3.7, 6.0, -36.0 || Time: 18366 ms
Enc Cnt: 12 | Angle: 3.0° || MPU1 Acc: 0.22, -1.27, 0.24 | Gyro: 11.8, 1.9, -43.1 || MPU2 Acc: 1.78, 0.88, 0.72 | Gyro: 1.2, 5.9, -36.4 || Time: 18376 ms
Enc Cnt: 12 | Angle: 3.0° || MPU1 Acc: -0.06, -1.15, 0.49 | Gyro: 11.2, 3.5, -44.7 || MPU2 Acc: 1.80, 0.24, 0.69 | Gyro: 1.2, 4.8, -35.9 || Time: 18387 ms
Enc Cnt: 11 | Angle: 2.7° || MPU1 Acc: -0.52, -1.03, 0.28 | Gyro: 10.1, 3.3, -47.7 || MPU2 Acc: 1.40, -0.22, 0.41 | Gyro: 2.6, 3.3, -36.3 || Time: 18396 ms
Enc Cnt: 11 | Angle: 2.7° || MPU1 Acc: -0.62, -1.13, 0.13 | Gyro: 8.4, 1.8, -51.9 || MPU2 Acc: 1.35, -0.47, 0.36 | Gyro: 4.3, 0.7, -39.4 || Time: 18406 ms
Enc Cnt: 10 | Angle: 2.5° || MPU1 Acc: -0.46, -1.53, -0.13 | Gyro: 9.1, 1.2, -57.0 || MPU2 Acc: 1.78, -0.12, 0.07 | Gyro: 5.8, -0.4, -43.1 || Time: 18417 ms
Enc Cnt: 10 | Angle: 2.5° || MPU1 Acc: -0.23, -1.54, 0.10 | Gyro: 10.4, 1.5, -61.2 || MPU2 Acc: 1.91, -0.20, 0.25 | Gyro: 6.1, 0.0, -45.8 || Time: 18426 ms
Enc Cnt: 9 | Angle: 2.2° || MPU1 Acc: -0.45, -1.72, 0.04 | Gyro: 11.2, 1.4, -66.0 || MPU2 Acc: 1.93, -0.23, 0.23 | Gyro: 6.1, 0.2, -48.4 || Time: 18436 ms
Enc Cnt: 8 | Angle: 2.0° || MPU1 Acc: -0.18, -1.67, -0.01 | Gyro: 12.2, 1.5, -70.6 || MPU2 Acc: 1.95, -0.12, 0.05 | Gyro: 7.2, -0.3, -51.3 || Time: 18446 ms
Enc Cnt: 7 | Angle: 1.8° || MPU1 Acc: -0.31, -1.90, 0.22 | Gyro: 13.2, 2.0, -75.1 || MPU2 Acc: 1.87, -0.17, 0.32 | Gyro: 7.7, -0.1, -54.7 || Time: 18456 ms
Enc Cnt: 7 | Angle: 1.8° || MPU1 Acc: -0.49, -2.19, -0.01 | Gyro: 13.5, 1.9, -79.9 || MPU2 Acc: 1.95, -0.26, 0.18 | Gyro: 8.4, -0.8, -58.3 || Time: 18466 ms
Enc Cnt: 6 | Angle: 1.5° || MPU1 Acc: -0.53, -2.64, -0.22 | Gyro: 16.1, 2.2, -85.5 || MPU2 Acc: 2.29, 0.06, -0.01 | Gyro: 7.9, -1.3, -63.3 || Time: 18476 ms
Enc Cnt: 3 | Angle: 0.8° || MPU1 Acc: -1.88, -2.13, -0.39 | Gyro: 20.8, 1.5, -102.5 || MPU2 Acc: 2.28, -2.59, 0.07 | Gyro: 12.1, 0.7, -73.1 || Time: 18499 ms
Enc Cnt: 2 | Angle: 0.5° || MPU1 Acc: -1.51, -2.15, -0.13 | Gyro: 21.4, -3.0, -112.5 || MPU2 Acc: 1.93, -2.43, 0.21 | Gyro: 15.1, 1.9, -78.6 || Time: 18508 ms
Enc Cnt: 0 | Angle: 0.0° || MPU1 Acc: -1.64, -3.27, -0.07 | Gyro: 23.4, -4.2, -121.1 || MPU2 Acc: 2.23, -1.48, 0.12 | Gyro: 17.2, -0.2, -85.3 || Time: 18518 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.94, -2.85, -0.16 | Gyro: 25.7, -3.2, -130.6 || MPU2 Acc: 2.43, -1.57, 0.69 | Gyro: 17.3, 2.0, -91.4 || Time: 18529 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -2.08, -3.97, -0.48 | Gyro: 27.2, -0.2, -137.9 || MPU2 Acc: 3.08, -1.59, 0.99 | Gyro: 16.1, 2.4, -98.9 || Time: 18538 ms
Enc Cnt: -5 | Angle: -1.0° || MPU1 Acc: -2.64, -4.38, 0.97 | Gyro: 29.0, 0.5, -147.3 || MPU2 Acc: 3.71, -3.34, 2.02 | Gyro: 17.8, 4.2, -108.5 || Time: 18548 ms
Enc Cnt: -7 | Angle: -1.8° || MPU1 Acc: -2.43, -3.70, -0.12 | Gyro: 29.8, -4.4, -160.1 || MPU2 Acc: 3.37, -2.27, 0.82 | Gyro: 18.4, 7.2, -114.3 || Time: 18560 ms
Enc Cnt: -9 | Angle: -2.2° || MPU1 Acc: -0.58, -3.18, -0.18 | Gyro: 32.6, -1.6, -171.1 || MPU2 Acc: 1.68, -0.58, 1.20 | Gyro: 15.0, 6.2, -117.7 || Time: 18570 ms
Enc Cnt: -11 | Angle: -2.7° || MPU1 Acc: -2.51, -5.97, -0.23 | Gyro: 33.7, 6.3, -175.3 || MPU2 Acc: 3.15, -1.68, 1.35 | Gyro: 14.0, 1.5, -128.3 || Time: 18580 ms
Enc Cnt: -14 | Angle: -3.5° || MPU1 Acc: -1.23, -5.81, -1.11 | Gyro: 39.1, 13.2, -192.6 || MPU2 Acc: 3.75, -1.42, 0.89 | Gyro: 8.9, 3.9, -140.9 || Time: 18593 ms
Enc Cnt: -16 | Angle: -4.0° || MPU1 Acc: -1.02, -5.56, -0.38 | Gyro: 43.1, 25.0, -202.6 || MPU2 Acc: 3.70, -1.98, 0.84 | Gyro: 1.7, 3.4, -149.1 || Time: 18603 ms
Enc Cnt: -19 | Angle: -4.7° || MPU1 Acc: -2.64, -5.27, -1.38 | Gyro: 49.6, 32.1, -214.5 || MPU2 Acc: 2.81, -2.36, 0.89 | Gyro: -3.9, 7.3, -157.2 || Time: 18613 ms
Enc Cnt: -22 | Angle: -5.5° || MPU1 Acc: -2.34, -4.88, -1.16 | Gyro: 54.5, 39.4, -227.5 || MPU2 Acc: 2.51, -3.58, 0.24 | Gyro: -9.3, 10.4, -166.6 || Time: 18623 ms
Enc Cnt: -25 | Angle: -6.2° || MPU1 Acc: -3.02, -4.47, -1.26 | Gyro: 60.1, 44.7, -237.3 || MPU2 Acc: 1.56, -3.16, 0.94 | Gyro: -13.6, 13.7, -174.1 || Time: 18633 ms
Enc Cnt: -28 | Angle: -7.0° || MPU1 Acc: -4.14, -5.37, -1.17 | Gyro: 62.9, 52.1, -240.0 || MPU2 Acc: 2.49, -3.21, 1.09 | Gyro: -13.3, 12.4, -184.4 || Time: 18643 ms
Enc Cnt: -31 | Angle: -7.7° || MPU1 Acc: -1.88, -3.02, -0.44 | Gyro: 68.3, 71.0, -248.1 || MPU2 Acc: 2.89, -2.38, 1.25 | Gyro: -16.9, 34.0, -187.6 || Time: 18654 ms
Enc Cnt: -34 | Angle: -8.5° || MPU1 Acc: 1.50, -1.02, -2.20 | Gyro: 72.6, 76.5, -261.8 || MPU2 Acc: 1.47, -0.92, 0.21 | Gyro: -21.3, 39.7, -179.0 || Time: 18664 ms
Enc Cnt: -39 | Angle: -9.5° || MPU1 Acc: 2.36, -2.52, -0.69 | Gyro: 76.5, 64.6, -274.9 || MPU2 Acc: -0.85, 1.13, 1.94 | Gyro: -25.8, 12.7, -178.8 || Time: 18674 ms
Enc Cnt: -43 | Angle: -10.8° || MPU1 Acc: 4.86, -2.72, 0.64 | Gyro: 85.4, 67.2, -280.4 || MPU2 Acc: -1.97, 3.68, -0.66 | Gyro: -29.4, 15.3, -184.1 || Time: 18684 ms
Enc Cnt: -49 | Angle: -12.3° || MPU1 Acc: -3.22, -0.41, -0.04 | Gyro: 86.5, 76.1, -254.1 || MPU2 Acc: -0.89, 5.26, -0.96 | Gyro: -32.4, 19.6, -172.5 || Time: 18697 ms
Enc Cnt: -52 | Angle: -13.0° || MPU1 Acc: -6.81, -0.85, 0.55 | Gyro: 69.8, 80.7, -179.1 || MPU2 Acc: 1.21, 0.41, 1.28 | Gyro: -21.8, 11.5, -150.2 || Time: 18707 ms
Enc Cnt: -53 | Angle: -13.3° || MPU1 Acc: -10.46, 1.39, -0.41 | Gyro: 56.8, 48.7, -121.4 || MPU2 Acc: 2.76, -0.63, -1.54 | Gyro: -14.2, 7.7, -114.2 || Time: 18717 ms
Enc Cnt: -52 | Angle: -13.0° || MPU1 Acc: -10.46, 1.84, 1.25 | Gyro: 38.2, 18.4, -37.2 || MPU2 Acc: 4.05, 0.12, -0.23 | Gyro: 5.1, 10.3, -61.8 || Time: 18727 ms
Enc Cnt: -51 | Angle: -12.8° || MPU1 Acc: -6.58, 2.63, 0.96 | Gyro: 21.9, -21.5, 18.9 || MPU2 Acc: 4.45, -0.20, -0.48 | Gyro: 23.2, 24.2, -9.2 || Time: 18737 ms
